Accuracy of lgb 0.802 params {'max_depth': 11, 'learning_rate': '0.760', 'min_child_weight': 16, 'reg_alpha': '7.000', 'n_estimators': 1450}
Accuracy of lgb 0.807 params {'max_depth': 13, 'learning_rate': '0.590', 'min_child_weight': 7, 'reg_alpha': '8.000', 'n_estimators': 1050}
Accuracy of lgb 0.814 params {'max_depth': 18, 'learning_rate': '0.410', 'min_child_weight': 19, 'reg_alpha': '11.000', 'n_estimators': 1150}
Accuracy of lgb 0.813 params {'max_depth': 14, 'learning_rate': '0.460', 'min_child_weight': 18, 'reg_alpha': '7.000', 'n_estimators': 1400}
Accuracy of lgb 0.809 params {'max_depth': 16, 'learning_rate': '0.550', 'min_child_weight': 18, 'reg_alpha': '15.000', 'n_estimators': 950}
Accuracy of lgb 0.818 params {'max_depth': 11, 'learning_rate': '0.260', 'min_child_weight': 8, 'reg_alpha': '14.000', 'n_estimators': 1050}
Accuracy of lgb 0.812 params {'max_depth': 8, 'learning_rate': '0.500', 'min_child_weight': 10, 'reg_alpha': '6.000', 'n_estimators': 1450}
Accuracy of lgb 0.822 params {'max_depth': 15, 'learning_rate': '0.130', 'min_child_weight': 15, 'reg_alpha': '14.000', 'n_estimators': 1000}
Accuracy of lgb 0.823 params {'max_depth': 13, 'learning_rate': '0.050', 'min_child_weight': 7, 'reg_alpha': '6.000', 'n_estimators': 1450}
Accuracy of lgb 0.820 params {'max_depth': 19, 'learning_rate': '0.250', 'min_child_weight': 17, 'reg_alpha': '6.000', 'n_estimators': 1450}
Accuracy of lgb 0.823 params {'max_depth': 7, 'learning_rate': '0.130', 'min_child_weight': 10, 'reg_alpha': '10.000', 'n_estimators': 950}
Accuracy of lgb 0.824 params {'max_depth': 11, 'learning_rate': '0.040', 'min_child_weight': 8, 'reg_alpha': '10.000', 'n_estimators': 1350}
Accuracy of lgb 0.824 params {'max_depth': 15, 'learning_rate': '0.080', 'min_child_weight': 11, 'reg_alpha': '9.000', 'n_estimators': 1300}
Accuracy of lgb 0.810 params {'max_depth': 18, 'learning_rate': '0.530', 'min_child_weight': 16, 'reg_alpha': '14.000', 'n_estimators': 1050}
Accuracy of lgb 0.807 params {'max_depth': 18, 'learning_rate': '0.620', 'min_child_weight': 19, 'reg_alpha': '6.000', 'n_estimators': 950}
Accuracy of lgb 0.816 params {'max_depth': 17, 'learning_rate': '0.340', 'min_child_weight': 5, 'reg_alpha': '14.000', 'n_estimators': 1050}
Accuracy of lgb 0.823 params {'max_depth': 16, 'learning_rate': '0.030', 'min_child_weight': 14, 'reg_alpha': '12.000', 'n_estimators': 1050}
Accuracy of lgb 0.818 params {'max_depth': 12, 'learning_rate': '0.300', 'min_child_weight': 7, 'reg_alpha': '12.000', 'n_estimators': 1100}
Accuracy of lgb 0.809 params {'max_depth': 9, 'learning_rate': '0.570', 'min_child_weight': 15, 'reg_alpha': '9.000', 'n_estimators': 1100}
Accuracy of lgb 0.807 params {'max_depth': 7, 'learning_rate': '0.700', 'min_child_weight': 8, 'reg_alpha': '11.000', 'n_estimators': 1150}
Accuracy of lgb 0.800 params {'max_depth': 10, 'learning_rate': '0.800', 'min_child_weight': 20, 'reg_alpha': '5.000', 'n_estimators': 1300}
Accuracy of lgb 0.802 params {'max_depth': 10, 'learning_rate': '0.760', 'min_child_weight': 13, 'reg_alpha': '5.000', 'n_estimators': 1250}
Accuracy of lgb 0.803 params {'max_depth': 9, 'learning_rate': '0.780', 'min_child_weight': 13, 'reg_alpha': '5.000', 'n_estimators': 1250}
